year,state,month,number
2023,Amazonas,Setembro,6991.0
2013,Amazonas,Maio,21.0
2018,Acre,Dezembro,2.0
2021,Alagoas,Fevereiro,37.0
2013,Minas Gerais,Abril,80.0
2018,Alagoas,Maio,0.0
2013,Sergipe,Dezembro,9.0
2022,Amapa,Junho,1.0
2017,Rio Grande do Norte,Junho,2.0
2015,Piaui,Agosto,2.039
2016,Santa Catarina,Fevereiro,2.0
2015,Rio de Janeiro,Abril,8.0
2023,Santa Catarina,Março,58.0
2012,Amazonas,Março,5.0
2020,Espirito Santo,Novembro,10.0
2022,Rio Grande do Sul,Novembro,131.0
2018,Mato Grosso do Sul,Agosto,442.0
2023,Pernambuco,Junho,6.0
2016,Piaui,Outubro,2.544
2023,Sergipe,Julho,1.0
2020,Minas Gerais,Junho,272.0
2012,Pernambuco,Outubro,265.0
2022,Paraná,Junho,110.0
2017,Pernambuco,Novembro,91.0
2016,Bahia,Fevereiro,340.0
2012,Roraima,Agosto,8.0
2019,Santa Catarina,Setembro,272.0
2019,Rio de Janeiro,Maio,18.0
2019,Roraima,Junho,2.0
2017,Amazonas,Fevereiro,21.0
2013,Distrito Federal,Julho,25.0
2018,Paraiba,Agosto,45.0
2012,Alagoas,Outubro,31.0
2017,Rondonia,Maio,29.0
2018,São Paulo,Setembro,598.0
2013,Amapa,Janeiro,2.0
2023,Sergipe,Novembro,25.0
2015,Espirito Santo,Janeiro,77.0
2012,Roraima,Julho,3.0
2015,Acre,Dezembro,8.0
2012,Espirito Santo,Agosto,17.0
2018,Tocantins,Setembro,1.796
2018,Distrito Federal,Maio,2.0
2021,Amapa,Julho,5.0
2020,Rio de Janeiro,Maio,26.0
2022,Distrito Federal,Junho,17.0
2021,Pará,Junho,424.0
2023,Rio Grande do Sul,Novembro,57.0
2014,Pernambuco,Dezembro,91.0
2018,Amazonas,Maio,19.0
2014,Amapa,Julho,5.0
2012,Mato Grosso do Sul,Junho,110.0
2020,Espirito Santo,Fevereiro,11.0
2012,Espirito Santo,Outubro,66.0
2014,Rondonia,Dezembro,141.0
2013,Mato Grosso do Sul,Julho,226.0
2016,Mato Grosso,Julho,3.301
2019,Amazonas,Abril,10.0
2017,Rio Grande do Sul,Dezembro,82.0
2016,Maranhão,Outubro,5.617
2013,São Paulo,Julho,243.0
2012,Maranhão,Agosto,10.519
2022,Pernambuco,Fevereiro,29.0
2015,Piaui,Julho,706.0
2013,Pernambuco,Fevereiro,33.0
2013,Rio Grande do Sul,Maio,58.0
2012,Espirito Santo,Setembro,39.0
2015,Ceará,Agosto,118.0
2016,Alagoas,Agosto,4.0
2020,Amapa,Agosto,16.0
2015,Santa Catarina,Março,31.0
2020,Tocantins,Novembro,520.0
2012,Bahia,Fevereiro,242.0
2017,Espirito Santo,Abril,7.0
2017,Paraiba,Junho,0.0
2023,Mato Grosso,Março,576.0
2017,Tocantins,Julho,1.823
2023,Espirito Santo,Fevereiro,15.0
2013,Pernambuco,Maio,9.0
2018,São Paulo,Junho,292.0
2017,Pernambuco,Março,9.0
2019,Espirito Santo,Fevereiro,32.0
2020,Tocantins,Outubro,2.192
2018,São Paulo,Janeiro,41.0
2021,Mato Grosso do Sul,Maio,215.0
2021,Tocantins,Maio,851.0
2016,Rio Grande do Norte,Maio,1.0
2014,Alagoas,Dezembro,26.0
2022,Acre,Junho,71.0
2016,Mato Grosso do Sul,Julho,673.0
2018,Rio Grande do Norte,Janeiro,23.0
2013,Goias,Junho,202.0
2013,Santa Catarina,Dezembro,76.0
2018,Mato Grosso,Dezembro,471.0
2022,Minas Gerais,Março,190.0
2021,Rio Grande do Norte,Agosto,21.0
2016,Ceará,Agosto,286.0
2015,Rio Grande do Norte,Outubro,115.0
2016,Rio Grande do Sul,Novembro,97.0
2014,Minas Gerais,Junho,344.0
2023,Piaui,Abril,80.0
2019,Rio de Janeiro,Dezembro,6.0
2023,Acre,Fevereiro,1.0
2021,Paraná,Março,77.0
2015,São Paulo,Setembro,344.0
2018,Paraiba,Dezembro,193.0
2021,Rio Grande do Sul,Maio,290.0
2021,Mato Grosso do Sul,Outubro,1.695
2022,São Paulo,Março,64.0
2012,Acre,Novembro,39.0
2016,Bahia,Novembro,402.0
2018,Amazonas,Agosto,2.589
2022,Tocantins,Outubro,2.327
2017,Ceará,Janeiro,91.0
2015,Mato Grosso,Dezembro,1.413
2018,Maranhão,Dezembro,904.0
2022,Pará,Abril,37.0
2020,Espirito Santo,Dezembro,22.0
2020,Sergipe,Abril,6.0
2020,Pernambuco,Dezembro,193.0
2012,Rio Grande do Sul,Junho,233.0
2015,Tocantins,Fevereiro,48.0
2014,Rio de Janeiro,Fevereiro,107.0
2013,Rio Grande do Norte,Julho,0.0
2013,Bahia,Maio,176.0
2012,Mato Grosso,Maio,958.0
2023,Distrito Federal,Outubro,0.0
2022,Distrito Federal,Outubro,10.0
2016,Santa Catarina,Abril,33.0
2017,Goias,Novembro,125.0
2019,Amapa,Janeiro,4.0
2020,Ceará,Abril,0.0
2022,Pará,Dezembro,1.472
2017,Alagoas,Outubro,12.0
2019,Rio Grande do Norte,Outubro,235.0
2023,Acre,Março,0.0
2022,Mato Grosso,Março,543.0
2020,Rio Grande do Norte,Abril,2.0
2020,Rio Grande do Sul,Outubro,196.0
2022,Maranhão,Julho,2170.0
2013,Piaui,Fevereiro,70.0
2019,Rio de Janeiro,Março,3.0
2014,Pará,Fevereiro,30.0
2016,Acre,Dezembro,6.0
2023,Rio Grande do Norte,Maio,3.0
2013,Espirito Santo,Março,18.0
2018,Distrito Federal,Dezembro,0.0
2020,Alagoas,Abril,5.0
2020,Mato Grosso do Sul,Maio,355.0
2021,Espirito Santo,Abril,25.0
2023,Distrito Federal,Maio,10.0
2023,Santa Catarina,Dezembro,47.0
2012,Rondonia,Agosto,2.561
2023,Piaui,Março,63.0
2022,Santa Catarina,Abril,76.0
2023,Paraná,Fevereiro,25.0
2015,Minas Gerais,Setembro,2.631
2020,Rondonia,Agosto,3.087
2020,Goias,Dezembro,70.0
2023,Santa Catarina,Setembro,89.0
2016,Amapa,Maio,3.0
2012,Mato Grosso do Sul,Abril,105.0
2021,Bahia,Agosto,1470.0
2015,Pernambuco,Junho,2.0
2015,Rio Grande do Norte,Novembro,87.0
2014,Ceará,Maio,4.0
2020,Distrito Federal,Novembro,1.0
2014,Goias,Janeiro,60.0
2023,Tocantins,Julho,1525.0
2019,Roraima,Fevereiro,629.0
2017,Pernambuco,Maio,13.0
2017,Pará,Junho,486.0
2022,Alagoas,Novembro,10.0
2013,Paraiba,Março,5.0
2013,Espirito Santo,Junho,24.0
2021,Pará,Maio,190.0
2014,São Paulo,Maio,178.0
2014,Roraima,Janeiro,557.0
2018,Sergipe,Dezembro,29.0
2017,Distrito Federal,Agosto,118.0
2021,Rio de Janeiro,Julho,129.0
2019,Amazonas,Fevereiro,90.0
2019,Ceará,Fevereiro,12.0
2012,São Paulo,Setembro,908.0
2020,Roraima,Julho,9.0
2023,Paraiba,Outubro,224.0
2018,Goias,Maio,181.0
2019,Ceará,Março,3.0
2013,Paraná,Janeiro,49.0
2019,Mato Grosso,Setembro,10.747
2018,Rondonia,Novembro,198.0
2014,Maranhão,Setembro,4.357
2016,Roraima,Março,1.195
2014,Bahia,Janeiro,123.0
2023,Pernambuco,Maio,14.0
2019,São Paulo,Março,85.0
2015,São Paulo,Junho,144.0
2023,Amazonas,Agosto,5474.0
2023,São Paulo,Agosto,352.0
2022,Minas Gerais,Fevereiro,66.0
2021,Maranhão,Maio,471.0
2018,Bahia,Março,126.0
2017,Bahia,Maio,124.0
2019,Alagoas,Junho,3.0
2016,Rio de Janeiro,Maio,24.0
2023,Acre,Junho,31.0
2020,Minas Gerais,Agosto,1.155
2013,Pernambuco,Outubro,157.0
2012,Rio Grande do Sul,Setembro,198.0
2022,Rondonia,Novembro,1.767
2014,Paraná,Abril,37.0
2012,Rio de Janeiro,Setembro,173.0
2013,Pará,Maio,74.0
2017,Distrito Federal,Abril,1.0
2017,Mato Grosso do Sul,Dezembro,80.0
2021,Santa Catarina,Novembro,108.0
2023,Rio Grande do Sul,Janeiro,64.0
2021,Acre,Novembro,14.0
2020,Rio Grande do Sul,Setembro,263.0
2017,Amazonas,Março,24.0
2022,Sergipe,Setembro,4.0
2023,Pernambuco,Outubro,586.0
2016,Roraima,Maio,22.0
2018,Roraima,Junho,5.0
2016,Paraiba,Janeiro,16.0
2014,Rio Grande do Norte,Janeiro,32.0
2021,Ceará,Março,13.0
2015,Minas Gerais,Fevereiro,69.0
2021,Bahia,Outubro,3630.0
2021,Amapa,Outubro,401.0
2016,Rio Grande do Norte,Novembro,98.0
2022,Acre,Maio,33.0
2015,Ceará,Outubro,603.0
2023,Roraima,Março,505.0
2012,Piaui,Junho,865.0
2018,Paraná,Dezembro,151.0
2016,Goias,Maio,210.0
2016,Alagoas,Dezembro,153.0
2013,Santa Catarina,Julho,215.0
2020,Amapa,Fevereiro,1.0
2014,Acre,Dezembro,8.0
2017,Amapa,Março,0.0
2015,Maranhão,Janeiro,458.0
2013,Alagoas,Agosto,0.0
2019,Goias,Março,138.0
2018,Alagoas,Julho,0.0
2017,Mato Grosso,Abril,708.0
2023,Ceará,Janeiro,208.0
2014,Mato Grosso do Sul,Outubro,529.0
2017,Minas Gerais,Abril,67.0
2018,Sergipe,Outubro,16.0
2013,Mato Grosso,Junho,1.388
2013,Piaui,Julho,371.0
2022,Maranhão,Abril,66.0
2012,Alagoas,Agosto,0.0
2015,Tocantins,Agosto,2.451
2018,Rondonia,Abril,7.0
2021,Rio Grande do Norte,Abril,10.0
2018,Rio Grande do Norte,Dezembro,64.0
2015,Paraná,Novembro,23.0
2013,Bahia,Outubro,1.866
2016,Bahia,Abril,193.0
2017,Ceará,Maio,6.0
2020,Paraiba,Abril,1.0
2014,Amazonas,Novembro,692.0
2020,Rio Grande do Norte,Julho,7.0
2017,Sergipe,Setembro,0.0
2012,Acre,Junho,12.0
2012,Pernambuco,Fevereiro,75.0
2020,Pará,Agosto,10.865
2022,Minas Gerais,Outubro,1.481
2018,Roraima,Abril,191.0
2023,Rio Grande do Norte,Janeiro,39.0
2015,Alagoas,Janeiro,64.0
2019,Paraiba,Março,4.0
2012,Bahia,Novembro,214.0
2014,Rondonia,Maio,26.0
2023,Mato Grosso,Junho,2447.0
2012,Pará,Setembro,8190.0
2019,Bahia,Dezembro,301.0
2020,Paraná,Outubro,352.0
2015,Rio Grande do Sul,Abril,166.0
2020,Rio de Janeiro,Abril,10.0
2023,São Paulo,Janeiro,62.0
2014,Alagoas,Março,19.0
2018,Amapa,Janeiro,14.0
2020,Rondonia,Dezembro,144.0
2017,Mato Grosso do Sul,Junho,150.0
2022,Espirito Santo,Maio,26.0
2013,Sergipe,Outubro,3.0
2020,Piaui,Setembro,2.772
2017,São Paulo,Dezembro,34.0
2016,Paraná,Novembro,260.0
2013,Amapa,Junho,6.0
2021,Ceará,Novembro,1680.0
2021,Rio Grande do Norte,Julho,7.0
2019,Roraima,Abril,1.134
2016,Distrito Federal,Fevereiro,1.0
2016,Tocantins,Dezembro,115.0
2018,Paraiba,Julho,3.0
2022,Espirito Santo,Setembro,87.0
2012,Ceará,Abril,2.0
2014,Espirito Santo,Janeiro,11.0
2012,Sergipe,Junho,3.0
2021,São Paulo,Dezembro,41.0
2016,Pará,Fevereiro,370.0
2022,Rio de Janeiro,Maio,20.0
2018,Tocantins,Novembro,201.0
2017,Sergipe,Abril,8.0
2017,Alagoas,Agosto,1.0
2016,Pará,Novembro,7.314
2013,Pernambuco,Junho,14.0
2019,Rio Grande do Norte,Abril,1.0
2015,Rondonia,Outubro,2470.0
2019,Pernambuco,Maio,12.0
2018,Bahia,Junho,190.0
2015,Santa Catarina,Junho,101.0
2023,Acre,Agosto,1388.0
2017,Paraiba,Maio,1.0
2022,Amazonas,Outubro,1.503
2012,Rio de Janeiro,Janeiro,6.0
2013,Distrito Federal,Maio,2.0
2019,Espirito Santo,Janeiro,25.0
2014,Mato Grosso,Novembro,836.0
2019,Rio Grande do Sul,Julho,379.0
2013,Espirito Santo,Outubro,32.0
2020,Acre,Janeiro,16.0
2023,Roraima,Junho,3.0
2022,Minas Gerais,Agosto,1120.0
2012,Roraima,Novembro,257.0
2013,Acre,Novembro,108.0
2016,Amazonas,Fevereiro,252.0
2021,Amapa,Setembro,137.0
2015,Mato Grosso do Sul,Novembro,228.0
2018,Maranhão,Fevereiro,15.0
2022,Mato Grosso do Sul,Julho,443.0
2022,Paraná,Setembro,85.0
2016,Distrito Federal,Outubro,8.0
2016,Rondonia,Setembro,3.916
2020,Paraiba,Maio,0.0
2021,Tocantins,Dezembro,45.0
2014,Sergipe,Março,26.0
2013,Paraná,Dezembro,150.0
2019,Piaui,Novembro,1.211
2014,Amapa,Agosto,19.0
2017,Pernambuco,Fevereiro,24.0
2013,Rio Grande do Norte,Outubro,63.0
2015,Tocantins,Dezembro,318.0
2013,Distrito Federal,Outubro,3.0
2019,Amapa,Agosto,21.0
2016,Rondonia,Maio,52.0
2012,Santa Catarina,Novembro,120.0
2022,Amapa,Maio,1.0
2014,Pernambuco,Agosto,16.0
2021,Amazonas,Abril,18.0
2014,Paraiba,Março,16.0
2015,São Paulo,Maio,63.0
2018,Rio Grande do Sul,Julho,78.0
2020,Amazonas,Julho,2.119
2014,Pará,Junho,284.0
2012,Amapa,Agosto,31.0
2015,Mato Grosso do Sul,Fevereiro,106.0
2015,Mato Grosso,Abril,638.0
2014,Piaui,Março,78.0
2017,Maranhão,Agosto,3.001
2016,Mato Grosso,Maio,929.0
2017,Ceará,Novembro,953.0
2023,Piaui,Novembro,1156.0
2018,Roraima,Agosto,7.0
2019,Minas Gerais,Junho,322.0
2014,Minas Gerais,Maio,208.0
2013,Pará,Dezembro,5.579
2015,Paraná,Dezembro,23.0
2012,Rio Grande do Norte,Maio,17.0
2020,Piaui,Agosto,919.0
2019,Rio Grande do Sul,Dezembro,101.0
2017,Rio Grande do Norte,Julho,3.0
2016,Maranhão,Julho,2.182
2014,Acre,Novembro,70.0
2015,Pernambuco,Janeiro,101.0
2012,Acre,Abril,3.0
2015,Acre,Junho,42.0
2016,Bahia,Dezembro,163.0
2022,Ceará,Setembro,209.0
2020,Paraná,Julho,337.0
2023,Minas Gerais,Outubro,919.0
2021,Piaui,Outubro,2.652
2023,Maranhão,Julho,2405.0
2013,Distrito Federal,Setembro,33.0
2015,Roraima,Julho,5.0
2021,Sergipe,Dezembro,10.0
2015,Ceará,Janeiro,189.0
2013,Goias,Maio,187.0
2021,Amazonas,Julho,1.173
2012,Pará,Fevereiro,78.0
2021,Distrito Federal,Junho,10.0
2013,Rio de Janeiro,Julho,60.0
2018,Minas Gerais,Dezembro,92.0
2019,Goias,Janeiro,129.0
2014,Espirito Santo,Outubro,82.0
2014,Tocantins,Outubro,3.673
2020,Roraima,Dezembro,58.0
2023,Piaui,Setembro,3941.0
2023,Minas Gerais,Novembro,642.0
2019,Mato Grosso,Março,1.188
2020,Maranhão,Março,39.0
2015,Tocantins,Abril,65.0
2023,Goias,Agosto,488.0
2012,Rio Grande do Sul,Julho,439.0
2020,Rio Grande do Sul,Maio,423.0
2013,Roraima,Junho,6.0
2022,Acre,Março,0.0
2022,Bahia,Junho,632.0
2023,Mato Grosso do Sul,Fevereiro,71.0
2019,Rio de Janeiro,Setembro,208.0
2017,Bahia,Julho,234.0
2021,Minas Gerais,Janeiro,96.0
2013,Distrito Federal,Janeiro,0.0
2012,Goias,Agosto,899.0
2020,Mato Grosso do Sul,Julho,1.305
2013,Distrito Federal,Abril,0.0
2012,Rio Grande do Sul,Maio,247.0
2019,Tocantins,Agosto,2.916
2016,Alagoas,Maio,4.0
2019,Pernambuco,Novembro,246.0
2021,São Paulo,Março,98.0
2018,Pernambuco,Outubro,215.0
2018,Goias,Outubro,345.0
2017,Roraima,Maio,27.0
2015,Paraiba,Janeiro,36.0
2020,Rio Grande do Sul,Abril,457.0
2018,Santa Catarina,Setembro,126.0
2018,Roraima,Novembro,120.0
2022,Amapa,Abril,2.0
2017,Bahia,Novembro,222.0
2013,Pará,Janeiro,291.0
2019,Maranhão,Novembro,3.158
2023,Goias,Janeiro,12.0
2014,Rio Grande do Norte,Dezembro,45.0
2016,Mato Grosso,Fevereiro,763.0
2018,Rio de Janeiro,Dezembro,13.0
2021,Rio Grande do Sul,Agosto,600.0
2020,Pará,Fevereiro,64.0
2013,Bahia,Junho,228.0
2020,Piaui,Outubro,3.437
2016,Roraima,Setembro,18.0
2021,Espirito Santo,Agosto,92.0
2019,Amapa,Abril,0.0
2020,Bahia,Abril,98.0
2022,Rio Grande do Norte,Agosto,13.0
2016,Maranhão,Março,70.0
2022,Rio de Janeiro,Setembro,219.0
2014,Rio Grande do Norte,Maio,1.0
2015,Bahia,Fevereiro,124.0
2016,Rio Grande do Norte,Fevereiro,2.0
2021,Maranhão,Agosto,3.322
2022,Paraiba,Março,3.0
2021,Roraima,Maio,3.0
2020,Tocantins,Setembro,3.977
2022,Distrito Federal,Fevereiro,0.0
2020,Bahia,Fevereiro,153.0
2020,Paraná,Fevereiro,49.0
2021,Pernambuco,Outubro,367.0
2012,Tocantins,Abril,243.0
2017,Ceará,Outubro,793.0
2021,Goias,Fevereiro,89.0
2017,Tocantins,Setembro,6.625
2012,Amazonas,Agosto,3.616
2012,Amazonas,Outubro,1.484
2019,Mato Grosso,Outubro,1.774
2022,Pernambuco,Janeiro,47.0
2023,Rio Grande do Sul,Dezembro,31.0
2012,Mato Grosso,Janeiro,179.0
2021,Mato Grosso do Sul,Dezembro,202.0
2015,Amapa,Fevereiro,0.0
2017,Roraima,Fevereiro,124.0
2023,Minas Gerais,Março,186.0
2017,Rondonia,Julho,1.007
2015,Roraima,Janeiro,411.0
2022,São Paulo,Maio,139.0
2014,Santa Catarina,Outubro,123.0
2016,Distrito Federal,Setembro,51.0
2015,Rondonia,Setembro,5200.0
2021,Mato Grosso,Fevereiro,578.0
2021,Mato Grosso,Abril,631.0
2017,Amazonas,Setembro,3.185
2023,Roraima,Abril,212.0
2022,Bahia,Dezembro,124.0
2019,Sergipe,Outubro,1.0
2022,Rondonia,Dezembro,70.0
2023,Paraiba,Dezembro,169.0
2018,Amapa,Fevereiro,1.0
2020,Minas Gerais,Setembro,3.467
2021,Amapa,Janeiro,0.0
2018,Sergipe,Agosto,5.0
2018,Bahia,Setembro,1930.0
2013,Roraima,Fevereiro,71.0
2018,Maranhão,Julho,1.457
2020,Alagoas,Fevereiro,21.0
2013,Minas Gerais,Agosto,933.0
2017,Maranhão,Setembro,9.243
2013,São Paulo,Janeiro,51.0
2014,Minas Gerais,Dezembro,123.0
2023,Goias,Julho,366.0
2015,Sergipe,Fevereiro,33.0
2023,Goias,Novembro,181.0
2012,Bahia,Julho,909.0
2019,Rio Grande do Sul,Maio,26.0
2018,Sergipe,Janeiro,14.0
2015,Paraiba,Julho,2.0
2022,Maranhão,Dezembro,1.541
2012,Rio Grande do Sul,Abril,61.0
2021,Piaui,Março,32.0
2014,Espirito Santo,Março,15.0
2014,Pará,Maio,55.0
2016,Rio de Janeiro,Março,3.0
2017,Rio Grande do Sul,Novembro,139.0
2014,Roraima,Outubro,65.0
2021,Sergipe,Fevereiro,31.0
2013,Paraná,Abril,137.0
2022,Santa Catarina,Julho,230.0
2016,Tocantins,Agosto,3.213
2015,Acre,Abril,3.0
2022,Paraiba,Outubro,131.0
2023,Mato Grosso do Sul,Setembro,339.0
2015,Minas Gerais,Maio,109.0
2016,Amazonas,Novembro,497.0
2020,Bahia,Agosto,437.0
2021,Santa Catarina,Fevereiro,63.0
2016,Paraiba,Outubro,283.0
2020,Mato Grosso,Novembro,1.919
2015,Alagoas,Setembro,4.0
2012,Minas Gerais,Junho,245.0
2022,Goias,Fevereiro,96.0
2012,Pernambuco,Dezembro,123.0
2012,Paraiba,Setembro,58.0
2017,Sergipe,Fevereiro,12.0
2019,Pernambuco,Abril,11.0
2012,Distrito Federal,Dezembro,0.0
2017,Amapa,Junho,2.0
2012,Espirito Santo,Maio,25.0
2016,Goias,Fevereiro,69.0
2017,Rio Grande do Norte,Novembro,103.0
2016,Rio Grande do Norte,Agosto,23.0
2019,Maranhão,Maio,139.0
2013,Amazonas,Novembro,258.0
2017,Pará,Julho,3.696
2020,Roraima,Maio,11.0
2012,Sergipe,Março,87.0
2017,Mato Grosso do Sul,Setembro,2.084
2019,Sergipe,Julho,0.0
2021,Acre,Fevereiro,0.0
2020,Pará,Junho,491.0
2021,Rio Grande do Sul,Novembro,145.0
2017,Alagoas,Julho,0.0
2022,Pernambuco,Maio,13.0
2018,Mato Grosso,Novembro,363.0
2015,Santa Catarina,Julho,46.0
2017,Mato Grosso do Sul,Novembro,136.0
2013,Pernambuco,Agosto,14.0
